season,olympic_year,country_code,country_name,imf_country_code,imf_country_name,spending_sector_code,spending_sector_name,cycle_start_year,cycle_end_year,cycle_years_available,cycle_data_complete,has_cycle_spending_data,pt_gdp_prev_cycle_mean,pt_gdp_prev_cycle_std,pt_gdp_prev_cycle_cv,pt_gdp_prev_cycle_min,pt_gdp_prev_cycle_max,pt_gdp_prev_cycle_change,pt_gdp_previous_year,pt_gdp_olympic_year,gold_medals,silver_medals,bronze_medals,total_medals
Summer,1992,SUI,Switzerland,CHE,Switzerland,IMF_SEC_GG,Sector: General government,1988,1991,2,False,True,0.3503759220571735,0.003499351802963513,0.009987420889020156,0.34687657025421,0.353875273860137,0.006998703605927026,0.353875273860137,0.367388325166678,1,0,0,1
Winter,1992,SUI,Switzerland,CHE,Switzerland,IMF_SEC_GG,Sector: General government,1988,1991,2,False,True,0.3503759220571735,0.003499351802963513,0.009987420889020156,0.34687657025421,0.353875273860137,0.006998703605927026,0.353875273860137,0.367388325166678,1,0,2,3
Winter,1994,SUI,Switzerland,CHE,Switzerland,IMF_SEC_GG,Sector: General government,1990,1993,4,True,True,0.35083869625588426,0.011650336421892638,0.03320710214187851,0.335214615742512,0.367388325166678,-0.011661954511697992,0.335214615742512,0.34528060737853,3,4,2,9
Summer,1996,FRA,France,FRA,France,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.33325863743184,0.0,0.0,0.33325863743184,0.33325863743184,0.0,0.33325863743184,0.321257624178888,15,6,15,36
Summer,1996,HUN,Hungary,HUN,Hungary,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.387116627065199,0.0,0.0,0.387116627065199,0.387116627065199,0.0,0.387116627065199,0.231147047037855,7,4,9,20
Summer,1996,NED,Netherlands,NLD,Netherlands,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.474894324633512,0.0,0.0,0.474894324633512,0.474894324633512,0.0,0.474894324633512,0.466594124047878,4,5,10,19
Summer,1996,ESP,Spain,ESP,Spain,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.287153397794248,0.0,0.0,0.287153397794248,0.287153397794248,0.0,0.287153397794248,0.283732610842335,5,5,6,16
Summer,1996,BUL,Bulgaria,BGR,Bulgaria,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.0392732643137722,0.0,0.0,0.0392732643137722,0.0392732643137722,0.0,0.0392732643137722,0.0363031339114706,3,7,5,15
Summer,1996,GBR,United Kingdom,GBR,United Kingdom,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.227388785518492,0.0,0.0,0.227388785518492,0.227388785518492,0.0,0.227388785518492,0.22362809384248,1,8,6,15
Summer,1996,CZE,Czech Republic,CZE,Czechia,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.40588682071497,0.0,0.0,0.40588682071497,0.40588682071497,0.0,0.40588682071497,0.466978456509881,4,3,4,11
Summer,1996,NOR,Norway,NOR,Norway,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.276803244391516,0.0,0.0,0.276803244391516,0.276803244391516,0.0,0.276803244391516,0.26994148897336,2,2,3,7
Summer,1996,SUI,Switzerland,CHE,Switzerland,IMF_SEC_GG,Sector: General government,1992,1995,4,True,True,0.3487376044029963,0.011677572430163811,0.03348526881738103,0.335214615742512,0.367388325166678,-0.020321455842413017,0.347066869324265,0.365616732980804,4,3,0,7
Summer,1996,DEN,Denmark,DNK,Denmark,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.465818716951398,0.0,0.0,0.465818716951398,0.465818716951398,0.0,0.465818716951398,0.478408163753384,4,1,1,6
Summer,1996,IRL,Ireland,IRL,Ireland,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.0608690049180049,0.0,0.0,0.0608690049180049,0.0608690049180049,0.0,0.0608690049180049,0.0683809162748722,3,0,1,4
Summer,1996,AUT,Austria,AUT,Austria,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.366104554985922,0.0,0.0,0.366104554985922,0.366104554985922,0.0,0.366104554985922,0.357355725404951,0,1,2,3
Summer,1996,CRO,Croatia,HRV,Croatia,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.271492109412725,0.0,0.0,0.271492109412725,0.271492109412725,0.0,0.271492109412725,0.256512897334073,1,1,0,2
Summer,1996,POR,Portugal,PRT,Portugal,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.395576253024309,0.0,0.0,0.395576253024309,0.395576253024309,0.0,0.395576253024309,0.444689862175098,1,0,1,2
Summer,1996,SLO,Slovenia,SVN,Slovenia,IMF_SEC_GG,Sector: General government,1992,1995,1,False,True,0.16270355686345,0.0,0.0,0.16270355686345,0.16270355686345,0.0,0.16270355686345,0.153504250950382,0,2,0,2
Winter,1998,NOR,Norway,NOR,Norway,IMF_SEC_GG,Sector: General government,1994,1997,3,False,True,0.266535135302559,0.010066913485296102,0.03776955512401239,0.252860672542801,0.276803244391516,-0.02394257184871501,0.252860672542801,0.261927002456855,10,9,5,24
Winter,1998,AUT,Austria,AUT,Austria,IMF_SEC_GG,Sector: General government,1994,1997,3,False,True,0.371326021173855,0.014032778295004903,0.037790990921249636,0.357355725404951,0.390517783130692,0.02441322814477004,0.390517783130692,0.353746894522238,3,3,9,15
Winter,1998,NED,Netherlands,NLD,Netherlands,IMF_SEC_GG,Sector: General government,1994,1997,3,False,True,0.46457853134123495,0.009354879045404045,0.02013627065029582,0.452247145342315,0.474894324633512,-0.022647179291196973,0.452247145342315,0.459808011767839,4,4,2,10
Winter,1998,FRA,France,FRA,France,IMF_SEC_GG,Sector: General government,1994,1997,3,False,True,0.3307462847127623,0.006952588621967945,0.02102091223188174,0.321257624178888,0.337722592527559,0.004463955095719008,0.337722592527559,0.361196423393515,2,1,5,8
Winter,1998,SUI,Switzerland,CHE,Switzerland,IMF_SEC_GG,Sector: General government,1994,1997,4,True,True,0.34851221627053103,0.01071845470375001,0.030754889508463768,0.336084655398525,0.365616732980804,-0.009195951980005002,0.336084655398525,0.338119103130015,2,2,3,7
Winter,1998,CZE,Czech Republic,CZE,Czechia,IMF_SEC_GG,Sector: General government,1994,1997,3,False,True,0.408134927388003,0.047154557027198236,0.11553668618606036,0.351539504939158,0.466978456509881,-0.05434731577581203,0.351539504939158,0.383930168695052,1,1,1,3
Winter,1998,BUL,Bulgaria,BGR,Bulgaria,IMF_SEC_GG,Sector: General government,1994,1997,3,False,True,0.047834274927990396,0.014258946583720568,0.2980905763740739,0.0363031339114706,0.0679264265587284,0.028653162244956197,0.0679264265587284,0.0867610243038956,1,0,0,1
Winter,1998,DEN,Denmark,DNK,Denmark,IMF_SEC_GG,Sector: General government,1994,1997,3,False,True,0.46853605261227466,0.007211872240706657,0.015392352841361095,0.461381277132042,0.478408163753384,-0.0044374398193559594,0.461381277132042,0.43915971576537,0,1,0,1
Winter,1998,GBR,United Kingdom,GBR,United Kingdom,IMF_SEC_GG,Sector: General government,1994,1997,3,False,True,0.21634798358415266,0.01304549904881777,0.06029868562996555,0.198027071391486,0.227388785518492,-0.029361714127006,0.198027071391486,0.213119466079653,0,0,1,1
Summer,2000,FRA,France,FRA,France,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.347442512914607,0.019104695853538634,0.05498663848955671,0.321257624178888,0.369593411558466,0.048335787379578,0.369593411558466,0.386991616985158,13,14,11,38
Summer,2000,GBR,United Kingdom,GBR,United Kingdom,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.21692525760142126,0.012967170410411758,0.05977713500858279,0.198027071391486,0.232926399092066,0.009298305249585997,0.232926399092066,0.318418681047139,11,10,7,28
Summer,2000,NED,Netherlands,NLD,Netherlands,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.46100265390971873,0.005664555029921975,0.012287467288705249,0.452247145342315,0.466594124047878,-0.0012327895670349864,0.465361334480843,0.478089941084983,11,9,4,24
Summer,2000,HUN,Hungary,HUN,Hungary,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.24707280549691452,0.01585794100013195,0.06418327168074346,0.231147047037855,0.269679531295277,0.0021237817090300204,0.233270828746885,0.349803498215108,8,6,3,17
Summer,2000,BUL,Bulgaria,BGR,Bulgaria,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.0726678472434325,0.023838996041152517,0.328054248824703,0.0363031339114706,0.0996808041996354,0.0633776702881648,0.0996808041996354,0.181565219122713,5,6,2,13
Summer,2000,ESP,Spain,ESP,Spain,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.29802289187222025,0.01338131558050048,0.044900294391606095,0.283732610842335,0.316711699607747,0.032979088765412,0.316711699607747,0.306397613031392,3,3,5,11
Summer,2000,NOR,Norway,NOR,Norway,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.2584817325881198,0.00807750341185365,0.031249803732648393,0.249197766379463,0.26994148897336,-0.020743722593897007,0.249197766379463,0.227813074005455,4,3,3,10
Summer,2000,SUI,Switzerland,CHE,Switzerland,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.3413795930756745,0.014765011095296767,0.04325100678183704,0.325697880793354,0.365616732980804,-0.039918852187450005,0.325697880793354,0.315642002859677,1,6,2,9
Summer,2000,CZE,Czech Republic,CZE,Czechia,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.37253758192901654,0.06458875966663861,0.17337515139330395,0.287702197571975,0.466978456509881,-0.179276258937906,0.287702197571975,0.296870442138601,2,3,3,8
Summer,2000,DEN,Denmark,DNK,Denmark,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.4532603918718483,0.017780605808313674,0.03922823641149046,0.434092410836597,0.478408163753384,-0.04431575291678702,0.434092410836597,0.469463032331485,2,3,1,6
Summer,2000,AUT,Austria,AUT,Austria,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.3600136326991322,0.018990225817858235,0.05274862975460876,0.338434127738648,0.390517783130692,-0.01892159766630297,0.338434127738648,0.307298844978428,2,1,0,3
Summer,2000,EST,Estonia,EST,Estonia,IMF_SEC_GG,Sector: General government,1996,1999,4,True,True,0.3503755533662638,0.020602003927356893,0.058799775639085936,0.323372201403816,0.380995359624479,0.057623158220662996,0.380995359624479,0.343506750231705,1,0,2,3
